סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0         ,לא רשום                  ,0         ,לא ידוע                  ,0         ,                         ,0         ,                         ,19451     ,1284      ,526       ,901       ,629       ,678       ,15433
7         ,שחר                      ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,790       ,61        ,208       ,265       ,101       ,64        ,91
10        ,תירוש                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,450       ,37        ,82        ,161       ,58        ,51        ,61
11        ,ניר ח"ן                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,598       ,48        ,141       ,187       ,70        ,58        ,94
13        ,חצבה                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,723       ,71        ,176       ,222       ,76        ,40        ,138
15        ,נועם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,466       ,42        ,107       ,164       ,52        ,38        ,63
16        ,בית ניר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,682       ,40        ,203       ,199       ,115       ,49        ,76
18        ,שדה משה                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,639       ,76        ,164       ,211       ,66        ,58        ,64
21        ,באר אורה                 ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,1118      ,84        ,406       ,353       ,188       ,51        ,36
22        ,מקווה ישראל              ,53        ,חולון                    ,53        ,חולון                    ,0         ,                         ,219       ,20        ,38        ,76        ,31        ,17        ,37
23        ,אמציה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,275       ,41        ,57        ,111       ,17        ,19        ,30
24        ,לכיש                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,851       ,54        ,204       ,277       ,157       ,62        ,97
26        ,ראש פינה                 ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,3392      ,284       ,659       ,1160      ,427       ,314       ,548
27        ,שדות מיכה                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,384       ,25        ,99        ,127       ,39        ,46        ,48
28        ,מזכרת בתיה               ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,16333     ,1444      ,4379      ,5510      ,2257      ,1226      ,1517
29        ,יסוד המעלה               ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1783      ,147       ,352       ,635       ,247       ,168       ,234
31        ,אופקים                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,35112     ,5187      ,7664      ,13066     ,3061      ,2673      ,3461
